Brand	Suction Power	Links				
Xiaomi G1	2200	https://smartrobotreviews.com/g/rv/xiaomi-mijia-g1/faq/what-is-the-suction-power-of-the-xiaomi-mi-robot-vacuum-mop-essential-mijia-g1/				
Mop 2 Lite	2200	https://www.mi.com/global/product/mi-robot-vacuum-mop-2-lite/				
Tesvor M1	4000	https://www.tesvor.com/us/blog/post/the-strongest-suction-robot-vacuum-tesvor-m1-with-4000-pa				
Dreame W10 Pro	4400	https://global.dreametech.com/products/dreamebot-w10-pro				
OPPO N3	4000	https://www.notebookcheck.net/OPPO-N3-robot-vacuum-with-4-000-Pa-suction-power-and-sonic-vibration-mop-launches.665636.0.html				
Roborock T8 Plus	5100	https://shopee.sg/roborockofficialstore?utm_source=google&utm_medium=seller&utm_campaign=s126007714_SS_SG_GSEM_July2021SGBrandKeywords&is_seller=true&gclid=CjwKCAjwrdmhBhBBEiwA4Hx5gwECTFZiYOnwLidKh6_53gWdnCvwi8qGX9AA3LIrz8PRjMtc20OmERoCgj4QAvD_BwE				
DEEBOT X1 OMNI	5000	https://www.ecovacs.com/id/deebot-robotic-vacuum-cleaner/DEEBOT-X1-OMNI				
Roborock G10S	5100	https://lesterchan.net/blog/2022/08/29/roborock-g10-review/				
Narwal J2	2500	https://shop.narwal.com/				
Narwal J3	3000	https://shop.narwal.com/				
Roomba i7	1700	https://irobot.com.sg/product/irobot-roomba-i7/				
Roomba 980	1700	https://smartrobotreviews.com/g/rv/irobot-roomba-980/				
Roborock S7	5100	"https://us.roborock.com/pages/roborock-s7#:~:text=Equipped%20with%20Roborock's%20HyperForce%E2%84%A2,carpets%2C%20and%20everything%20in%20between."				
Yeedi K650	2000	https://sg.yeedi.com/products/yeedi-k650				
Midea M7	4000	https://www.midea.com/global/vacuum-cleaning/m7-robot-vacuum-cleaner				
Luofuer K5	1000	https://www.aliexpress.com/item/32737295544.html				
Roborock T8	4200	https://www.notebookcheck.net/The-Roborock-T8-launches-with-4-200-Pa-of-suction.609082.0.html				
Viomi V2 Pro	2300	https://www.viomi.com/robot-vacuums/viomi-v2-pro				
360 C50	2600	https://smart.360.com/robot/c50.html				